	0
V_234	10.595080085308759
V_235	10.322549440484323
V_236	5.147278425653321
V_237	10.591352096857992
V_238	11.037454531480003
V_239	9.886558119761514
V_240	9.842549331612908
V_241	8.047750833381576
V_242	11.820802212297039
V_243	10.956150785061412
V_244	13.035277418578724
V_245	10.97011104265819
V_246	15.101730266000619
V_247	9.142308825492645
V_248	8.83781046407452
V_249	10.477803182690002
V_250	13.503151930538547
V_251	11.591659120191187
V_252	13.021247001247197
V_253	8.216225552250613
V_254	10.192059267485059
V_255	14.389582306210114
V_256	13.917606214021074
V_257	3.77009506913749
V_258	3.2059782376200623
V_259	4.159318137274069
V_260	4.058364905814493
V_261	3.2547518023893467
V_262	3.253120513630739
V_263	6.200426554600826
V_264	9.649967113171506
V_265	8.3336543703561
V_266	11.065736722180752
V_267	5.997602824178079
V_268	7.073003284374124
V_269	5.899390388800252
V_270	5.839975907628871
V_271	7.6729209125567595
V_272	4.879339314941845
V_273	9.190454053128878
V_274	5.7616997697327905
V_275	7.070617848498236
V_276	7.340470284519184
V_277	6.162663488099941
V_278	5.852604565950781
V_279	11.496811587734872
V_280	10.05391898939489
V_281	8.355781913001794
V_282	5.715148755656701
V_283	5.973096015042815
V_284	7.521832534573023
V_285	7.023829879850243
V_286	7.102004598053156
V_287	6.300015063143059
V_288	11.906076013739668
V_289	6.860908385655993
V_290	5.71690907233037
V_291	6.752402105943881
V_292	8.51559079219975
V_293	7.488741620078057
V_294	7.271337021092437
V_295	6.643778352791596
V_296	7.51750415407777
V_297	6.253177691576157
V_298	8.47668473518856
V_299	7.471617836735996
V_300	7.091834001574857
V_301	6.401581209283407
V_302	7.717337644616968
V_303	7.141017731867413
V_304	9.835696571484979
V_305	8.771137713183432
V_306	7.6357014230673315
V_307	7.709206139057477
V_308	7.295713027202815
V_309	7.5459827355867555
V_310	9.66243809553227
V_311	10.66940454615494
V_312	5.368727131239539
V_313	6.250109390376126
V_314	4.402984950907128
V_315	5.935360975157953
V_316	7.138538095230233
V_317	4.21730626217566
V_318	6.620134698271173
V_319	5.9016428016180615
V_320	4.110471554712941
V_321	5.120969370211869
V_322	5.711743329470359
V_323	7.670409947457005
V_324	4.41402521756563
V_325	9.926023102012618
V_326	5.836191924260948
V_327	8.297154993643002
V_328	5.19573428309298
V_329	4.933170333907389
V_330	5.6676894673712255
V_331	4.577480313429219
V_332	5.414504758282999
V_333	5.374046558154642
V_334	5.30023428348464
V_335	4.783321556041635
V_336	8.63304241860665
V_337	4.632153336201435
V_338	5.318281002255857
V_339	5.793941741033169
V_340	8.068594161032305
V_341	5.149101659216724
V_342	5.039266922240471
V_343	6.096086444694434
V_344	5.871363599434565
V_345	5.37953341511949
V_346	5.758338649457702
V_347	3.8952080537630644
V_348	10.512006024364556
V_349	6.390139211951077
V_350	5.4422112879045255
V_351	6.261906968088445
V_352	8.228149853280192
V_353	5.093592184344919
V_354	0.44079250187732183
V_355	1.070563753748019
V_356	0.926206260599573
V_357	0.6379513035643833
V_358	0.40009074333070044
V_359	0.8595953520213571
V_360	0.5703939850713139
V_361	0.32278412244035426
V_362	0.6230047491591522
V_363	1.6911139276161258
V_364	1.3771227782157593
V_365	0.9398410083973812
V_366	0.24170598475237554
V_367	0.820452338472458
V_368	0.5720595912985584
V_369	0.5401193678149576
V_370	1.0681874144604653
V_371	0.486245807465206
V_372	0.3614669431492208
V_373	1.513239934440829
V_374	0.5694174463670324
V_375	0.5620059027330636
V_376	0.5723563301407253
V_377	0.7586395911777956
V_378	0.9005437574020835
V_379	0.3500503499001981
V_380	0.6883309087944095
V_381	1.1493335338982926
V_382	0.884546619861129
V_383	0.9410604346499201
V_384	0.5822396776446608
V_385	1.3220966833281746
V_386	0.6949819600830808
V_387	1.0903076669853888
V_388	0.5064822777859446
V_389	0.8539949898056449
V_390	0.8332614711712599
V_391	0.70199228227993
V_392	0.6558341185770211
V_393	1.3101825184880074
V_394	0.6069408697868688
V_395	1.052596239159422
V_396	1.7890388889711915
V_397	2.1019614762849197
V_398	0.8322717187684232
V_399	2.117986975221509
V_400	0.6017658006927658
V_401	0.7284060296833015
V_402	1.491908487331338
V_403	0.8167657716374594
V_404	0.33040246944282586
V_405	1.8803284775621223
V_406	0.26796110576503124
V_407	0.5030920445868191
V_408	0.8871587352788669
V_409	0.6342540594599098
V_410	0.7355615535443931
V_411	0.6937211254965208
V_412	0.9720970066606355
V_413	1.0016427051811707
V_414	0.5374972434271863
V_415	1.3417261329292764
V_416	0.7977586353456843
V_417	0.18075489731877636
V_418	0.9832698503825918
V_419	1.247965260047638
V_420	0.43574263565634164
V_421	1.1206551021981557
V_422	1.0746852733882493
V_423	1.371918664584935
V_424	1.1292962688565242
V_425	1.0908901626243235
V_426	1.034827899384622
V_427	1.4063787776818146
V_428	1.8330248075131652
V_429	1.18802361118506
V_430	0.5924679688520025
V_431	0.9998952990780818
V_432	0.2649110431381939
V_433	1.7694418307763686
V_434	1.073635267806109
V_435	0.8497450904107101
V_436	1.0320483142950931
V_437	0.38085928259580704
V_438	1.021116988473659
V_439	0.8972410477001349
V_440	1.5969761957490012
V_441	1.1310557984594591
V_442	1.4509921682296394
V_443	1.4925169930279294
V_444	1.1452737041334373
V_445	1.281786543639385
V_446	0.7485948657684846
V_447	0.7090825981779187
V_448	1.572990211983368
V_449	0.4649248335734882
V_450	1.6610885964052926
V_451	1.2814345543542494
V_452	1.140413032172742
V_453	2.8059621118006732
V_454	0.831939783998171
V_455	1.1437020954395734
V_456	1.5218719461899217
V_457	0.5644622293651587
V_458	0.6204856955120198
V_459	1.8351514067605352
V_460	1.631589281989102
V_461	0.8982665225119157
V_462	1.0975605073932213
V_463	1.8281761471673172
V_464	3.225133898462141
V_465	1.0493708644669741
V_466	1.7875282405864077
V_467	1.1309305966355665
V_468	0.8679612618486975
V_469	0.724259730488032
V_470	1.4898561525079186
V_471	1.721802438261588
V_472	1.2869570864555138
V_473	1.305689024091731
V_474	1.6521002545709778
V_475	1.4684683369291602
V_476	0.9539820106818461
V_477	1.734182100915039
V_478	1.9155440675895505
V_479	1.2384264883256355
V_480	0.6045535666833664
V_481	0.9791849275417641
V_482	0.96918491963611
V_483	1.1020267729327646
V_484	2.2410061892022535
V_485	1.4356114012945846
V_486	1.1668055625291993
V_487	1.6839149975418704
V_488	0.8865858454502207
V_489	1.6080523300856873
V_490	0.8915480418457262
V_491	2.702295624591105
V_492	0.5617624712292293
V_493	2.2502899246032824
V_494	1.4158009352069283
V_495	1.5252898787148887
V_496	0.4804188024824453
V_497	2.9298690103108425
